ID;ID_USUARIO;ACEPTA_TERMINOS_CONDICIONES;ACEPTA_INFORMACION_COMERCIAL;ACEPTA_BARRIO;ID_BONO;ACEPTA_BOLETIN_INFORMATIVO;ACEPTA_CORREO_APUESTAS;ACEPTA_ENVIO_SMS;ACEPTA_NOTIFICACIONES;ACEPTA_AVISOS_BOLETA_APUESTA;LIMITE_APUESTAS_DIARIA;LIMITE_APUESTAS_SEMANAL;LIMITE_APUESTAS_MENSUAL;ESTADO
;50;1;1;1;3;1;1;1;1;1;100000.49;567850.49;1234567.49;disponible
;51;1;1;1;4;1;1;1;1;1;100000.50;567850.50;1234567.50;disponible
;52;1;1;1;5;1;1;1;1;1;100000.51;567850.51;1234567.51;disponible
;53;1;1;1;6;1;1;1;1;1;100000.52;567850.52;1234567.52;disponible
;54;1;1;1;1;1;1;1;1;1;100000.53;567850.53;1234567.53;disponible
;55;1;1;1;2;1;1;1;1;1;100000.54;567850.54;1234567.54;disponible
;56;1;1;1;3;1;1;1;1;1;100000.55;567850.55;1234567.55;disponible
;57;1;1;1;4;1;1;1;1;1;100000.56;567850.56;1234567.56;disponible
;58;1;1;1;5;1;1;1;1;1;100000.57;567850.57;1234567.57;disponible
;59;1;1;1;1;1;1;1;1;1;100000.58;567850.58;1234567.58;disponible
;60;1;1;1;2;1;1;1;1;1;100000.59;567850.59;1234567.59;disponible
;61;1;1;1;3;1;1;1;1;1;100000.60;567850.60;1234567.60;disponible
;62;1;1;1;4;1;1;1;1;1;100000.61;567850.61;1234567.61;disponible
;63;1;1;1;5;1;1;1;1;1;100000.62;567850.62;1234567.62;disponible
;64;1;1;1;6;1;1;1;1;1;100000.63;567850.63;1234567.63;disponible
;65;1;1;1;1;1;1;1;1;1;100000.64;567850.64;1234567.64;disponible
;66;1;1;1;2;1;1;1;1;1;100000.65;567850.65;1234567.65;disponible
;67;1;1;1;3;1;1;1;1;1;100000.66;567850.66;1234567.66;disponible
;68;1;1;1;4;1;1;1;1;1;100000.67;567850.67;1234567.67;disponible
;69;1;1;1;5;1;1;1;1;1;100000.68;567850.68;1234567.68;disponible
;70;1;1;1;6;1;1;1;1;1;100000.69;567850.69;1234567.69;disponible
;71;1;1;1;1;1;1;1;1;1;100000.70;567850.70;1234567.70;disponible
;72;1;1;1;2;1;1;1;1;1;100000.71;567850.71;1234567.71;disponible
;73;1;1;1;3;1;1;1;1;1;100000.72;567850.72;1234567.72;disponible
;74;1;1;1;4;1;1;1;1;1;100000.73;567850.73;1234567.73;disponible
;75;1;1;1;5;1;1;1;1;1;100000.74;567850.74;1234567.74;disponible
;76;1;1;1;6;1;1;1;1;1;100000.75;567850.75;1234567.75;disponible
;77;1;1;1;1;1;1;1;1;1;100000.76;567850.76;1234567.76;disponible
;78;1;1;1;2;1;1;1;1;1;100000.77;567850.77;1234567.77;disponible
;79;1;1;1;3;1;1;1;1;1;100000.78;567850.78;1234567.78;disponible
;80;1;1;1;4;1;1;1;1;1;100000.79;567850.79;1234567.79;disponible
;81;1;1;1;5;1;1;1;1;1;100000.80;567850.80;1234567.80;disponible
;82;1;1;1;6;1;1;1;1;1;100000.81;567850.81;1234567.81;disponible
;83;1;1;1;6;1;1;1;1;1;100000.82;567850.82;1234567.82;disponible
;84;1;1;1;1;1;1;1;1;1;100000.83;567850.83;1234567.83;disponible
;85;1;1;1;2;1;1;1;1;1;100000.84;567850.84;1234567.84;disponible
;86;1;1;1;3;1;1;1;1;1;100000.85;567850.85;1234567.85;disponible
;87;1;1;1;4;1;1;1;1;1;100000.86;567850.86;1234567.86;disponible
;88;1;1;1;5;1;1;1;1;1;100000.87;567850.87;1234567.87;disponible
;89;1;1;1;6;1;1;1;1;1;100000.88;567850.88;1234567.88;disponible
;90;1;1;1;1;1;1;1;1;1;100000.89;567850.89;1234567.89;disponible
;91;1;1;1;2;1;1;1;1;1;100000.90;567850.90;1234567.90;disponible
;92;1;1;1;3;1;1;1;1;1;100000.91;567850.91;1234567.91;disponible
;93;1;1;1;4;1;1;1;1;1;100000.92;567850.92;1234567.92;disponible
;94;1;1;1;5;1;1;1;1;1;100000.93;567850.93;1234567.93;disponible
;95;1;1;1;6;1;1;1;1;1;100000.94;567850.94;1234567.94;disponible
;96;1;1;1;1;1;1;1;1;1;100000.95;567850.95;1234567.95;disponible
;97;1;1;1;2;1;1;1;1;1;100000.96;567850.96;1234567.96;disponible
;98;1;1;1;3;1;1;1;1;1;100000.97;567850.97;1234567.97;disponible
;99;1;1;1;4;1;1;1;1;1;100000.98;567850.98;1234567.98;disponible
;100;1;1;1;5;1;1;1;1;1;100000.99;567850.99;1234567.99;disponible
;101;1;1;1;6;1;1;1;1;1;100000.10;345632.00;2345575.00;disponible
;102;1;1;1;1;1;1;1;1;1;100000.11;345632.01;2345575.01;disponible
;103;1;1;1;2;1;1;1;1;1;100000.12;345632.02;2345575.02;disponible
;104;1;1;1;3;1;1;1;1;1;100000.13;345632.03;2345575.03;disponible
;105;1;1;1;4;1;1;1;1;1;100000.14;345632.04;2345575.04;disponible
;106;1;1;1;5;1;1;1;1;1;100000.15;345632.05;2345575.05;disponible
;107;1;1;1;6;1;1;1;1;1;100000.16;345632.06;2345575.06;disponible
;108;1;1;1;1;1;1;1;1;1;100000.17;345632.07;2345575.07;disponible
;109;1;1;1;2;1;1;1;1;1;100000.18;345632.08;2345575.08;disponible
;110;1;1;1;3;1;1;1;1;1;100000.19;345632.09;2345575.09;disponible
;111;1;1;1;4;1;1;1;1;1;100000.20;345632.10;2345575.10;disponible
;112;1;1;1;5;1;1;1;1;1;100000.21;345632.11;2345575.11;disponible
;113;1;1;1;6;1;1;1;1;1;100000.22;345632.12;2345575.12;disponible
;114;1;1;1;1;1;1;1;1;1;100000.23;345632.13;2345575.13;disponible
;115;1;1;1;2;1;1;1;1;1;100000.24;345632.14;2345575.14;disponible
;116;1;1;1;3;1;1;1;1;1;100000.25;345632.15;2345575.15;disponible
;117;1;1;1;4;1;1;1;1;1;100000.26;345632.16;2345575.16;disponible
;118;1;1;1;5;1;1;1;1;1;100000.27;345632.17;2345575.17;disponible
;119;1;1;1;6;1;1;1;1;1;100000.28;345632.18;2345575.18;disponible
;120;1;1;1;1;1;1;1;1;1;100000.29;345632.19;2345575.19;disponible
;121;1;1;1;2;1;1;1;1;1;100000.30;345632.20;2345575.20;disponible
;122;1;1;1;3;1;1;1;1;1;100000.31;345632.21;2345575.21;disponible
;123;1;1;1;4;1;1;1;1;1;100000.32;345632.22;2345575.22;disponible
;124;1;1;1;5;1;1;1;1;1;100000.33;345632.23;2345575.23;disponible
;125;1;1;1;1;1;1;1;1;1;100000.34;345632.24;2345575.24;disponible
;126;1;1;1;2;1;1;1;1;1;100000.35;345632.25;2345575.25;disponible
;127;1;1;1;3;1;1;1;1;1;100000.36;345632.26;2345575.26;disponible
;128;1;1;1;4;1;1;1;1;1;100000.37;345632.27;2345575.27;disponible
;129;1;1;1;5;1;1;1;1;1;100000.38;345632.28;2345575.28;disponible
;130;1;1;1;6;1;1;1;1;1;100000.39;345632.29;2345575.29;disponible
;131;1;1;1;1;1;1;1;1;1;100000.40;345632.30;2345575.30;disponible
;132;1;1;1;2;1;1;1;1;1;100000.41;345632.31;2345575.31;disponible
;133;1;1;1;3;1;1;1;1;1;100000.42;345632.32;2345575.32;disponible
;134;1;1;1;4;1;1;1;1;1;100000.43;345632.33;2345575.33;disponible
;135;1;1;1;5;1;1;1;1;1;100000.44;345632.34;2345575.34;disponible
;136;1;1;1;6;1;1;1;1;1;100000.45;345632.35;2345575.35;disponible
;137;1;1;1;1;1;1;1;1;1;100000.46;345632.36;2345575.36;disponible
;138;1;1;1;2;1;1;1;1;1;100000.47;345632.37;2345575.37;disponible
;139;1;1;1;3;1;1;1;1;1;100000.48;345632.38;2345575.38;disponible
;140;1;1;1;4;1;1;1;1;1;100000.49;345632.39;2345575.39;disponible
;141;1;1;1;5;1;1;1;1;1;100000.50;345632.40;2345575.40;disponible
;142;1;1;1;6;1;1;1;1;1;100000.51;345632.41;2345575.41;disponible
;143;1;1;1;1;1;1;1;1;1;100000.52;345632.42;2345575.42;disponible
;144;1;1;1;2;1;1;1;1;1;100000.53;345632.43;2345575.43;disponible
;145;1;1;1;3;1;1;1;1;1;100000.54;345632.44;2345575.44;disponible
;146;1;1;1;4;1;1;1;1;1;100000.55;345632.45;2345575.45;disponible
;147;1;1;1;5;1;1;1;1;1;100000.56;345632.46;2345575.46;disponible
;148;1;1;1;6;1;1;1;1;1;100000.57;345632.47;2345575.47;disponible
;149;1;1;1;1;1;1;1;1;1;100000.58;345632.48;2345575.48;disponible
;150;1;1;1;2;1;1;1;1;1;100000.59;345632.49;2345575.49;disponible
;151;1;1;1;3;1;1;1;1;1;100000.60;345632.50;2345575.50;disponible
;152;1;1;1;4;1;1;1;1;1;100000.61;345632.51;2345575.51;disponible
;153;1;1;1;5;1;1;1;1;1;100000.62;345632.52;2345575.52;disponible
;154;1;1;1;6;1;1;1;1;1;100000.63;345632.53;2345575.53;disponible
;155;1;1;1;1;1;1;1;1;1;100000.64;345632.54;2345575.54;disponible
;156;1;1;1;2;1;1;1;1;1;100000.65;345632.55;2345575.55;disponible
;157;1;1;1;3;1;1;1;1;1;100000.66;345632.56;2345575.56;disponible
;158;1;1;1;4;1;1;1;1;1;100000.67;345632.57;2345575.57;disponible
;159;1;1;1;5;1;1;1;1;1;100000.68;345632.58;2345575.58;disponible
;160;1;1;1;6;1;1;1;1;1;100000.69;345632.59;2345575.59;disponible
;161;1;1;1;1;1;1;1;1;1;100000.70;345632.60;2345575.60;disponible
;162;1;1;1;2;1;1;1;1;1;100000.71;345632.61;2345575.61;disponible
;163;1;1;1;3;1;1;1;1;1;100000.72;345632.62;2345575.62;disponible
;164;1;1;1;4;1;1;1;1;1;100000.73;345632.63;2345575.63;disponible
;165;1;1;1;5;1;1;1;1;1;100000.74;345632.64;2345575.64;disponible
;166;1;1;1;6;1;1;1;1;1;100000.75;345632.65;2345575.65;disponible
;167;1;1;1;1;1;1;1;1;1;100000.76;345632.66;2345575.66;disponible
;168;1;1;1;2;1;1;1;1;1;100000.77;345632.67;2345575.67;disponible
;169;1;1;1;3;1;1;1;1;1;100000.78;345632.68;2345575.68;disponible
;170;1;1;1;4;1;1;1;1;1;100000.79;345632.69;2345575.69;disponible
;171;1;1;1;5;1;1;1;1;1;100000.80;345632.70;2345575.70;disponible
;172;1;1;1;1;1;1;1;1;1;100000.81;345632.71;2345575.71;disponible
;173;1;1;1;2;1;1;1;1;1;100000.82;345632.72;2345575.72;disponible
;174;1;1;1;3;1;1;1;1;1;100000.83;345632.73;2345575.73;disponible
;175;1;1;1;4;1;1;1;1;1;100000.84;345632.74;2345575.74;disponible
;176;1;1;1;5;1;1;1;1;1;100000.85;345632.75;2345575.75;disponible
;177;1;1;1;6;1;1;1;1;1;100000.86;345632.76;2345575.76;disponible
;178;1;1;1;1;1;1;1;1;1;100000.87;345632.77;2345575.77;disponible
;179;1;1;1;2;1;1;1;1;1;100000.88;345632.78;2345575.78;disponible
;180;1;1;1;3;1;1;1;1;1;100000.89;345632.79;2345575.79;disponible
;181;1;1;1;4;1;1;1;1;1;100000.90;345632.80;2345575.80;disponible
;182;1;1;1;5;1;1;1;1;1;100000.91;345632.81;2345575.81;disponible
;183;1;1;1;6;1;1;1;1;1;100000.92;345632.82;2345575.82;disponible
;184;1;1;1;1;1;1;1;1;1;100000.93;345632.83;2345575.83;disponible
;185;1;1;1;2;1;1;1;1;1;100000.94;345632.84;2345575.84;disponible
;186;1;1;1;3;1;1;1;1;1;100000.95;345632.85;2345575.85;disponible
;187;1;1;1;4;1;1;1;1;1;100000.96;345632.86;2345575.86;disponible
;188;1;1;1;5;1;1;1;1;1;100000.97;345632.87;2345575.87;disponible
;189;1;1;1;6;1;1;1;1;1;100000.98;345632.88;2345575.88;disponible
;190;1;1;1;1;1;1;1;1;1;100000.99;345632.89;2345575.89;disponible
;191;1;1;1;2;1;1;1;1;1;100000.01;345632.90;2345575.90;disponible
;192;1;1;1;3;1;1;1;1;1;100000.02;345632.91;2345575.91;disponible
;193;1;1;1;4;1;1;1;1;1;100000.03;345632.92;2345575.92;disponible
;194;1;1;1;5;1;1;1;1;1;100000.04;345632.93;2345575.93;disponible
;195;1;1;1;6;1;1;1;1;1;100000.05;345632.94;2345575.94;disponible
;196;1;1;1;6;1;1;1;1;1;100000.06;345632.95;2345575.95;disponible
;197;1;1;1;1;1;1;1;1;1;100000.07;345632.96;2345575.96;disponible
;198;1;1;1;2;1;1;1;1;1;100000.08;345632.97;2345575.97;disponible
;199;1;1;1;3;1;1;1;1;1;100000.09;345632.98;2345575.98;disponible
;200;1;1;1;4;1;1;1;1;1;100000.10;345632.99;2345575.99;disponible
;201;1;1;1;5;1;1;1;1;1;100000.11;768302.00;4527359.00;disponible
;202;1;1;1;6;1;1;1;1;1;100000.12;768302.01;4527359.01;disponible
;203;1;1;1;1;1;1;1;1;1;100000.13;768302.02;4527359.02;disponible
;204;1;1;1;2;1;1;1;1;1;100000.14;768302.03;4527359.03;disponible
;205;1;1;1;3;1;1;1;1;1;100000.15;768302.04;4527359.04;disponible
;206;1;1;1;4;1;1;1;1;1;100000.16;768302.05;4527359.05;disponible
;207;1;1;1;5;1;1;1;1;1;100000.17;768302.06;4527359.06;disponible
;208;1;1;1;6;1;1;1;1;1;100000.18;768302.07;4527359.07;disponible
;209;1;1;1;1;1;1;1;1;1;100000.19;768302.08;4527359.08;disponible
;210;1;1;1;2;1;1;1;1;1;100000.20;768302.09;4527359.09;disponible
;211;1;1;1;3;1;1;1;1;1;100000.21;768302.10;4527359.10;disponible
;212;1;1;1;4;1;1;1;1;1;100000.22;768302.11;4527359.11;disponible
;213;1;1;1;5;1;1;1;1;1;100000.23;768302.12;4527359.12;disponible
;214;1;1;1;6;1;1;1;1;1;100000.24;768302.13;4527359.13;disponible
;215;1;1;1;1;1;1;1;1;1;100000.25;768302.14;4527359.14;disponible
;216;1;1;1;2;1;1;1;1;1;100000.26;768302.15;4527359.15;disponible
;217;1;1;1;3;1;1;1;1;1;100000.27;768302.16;4527359.16;disponible
;218;1;1;1;4;1;1;1;1;1;100000.28;768302.17;4527359.17;disponible
;219;1;1;1;5;1;1;1;1;1;100000.29;768302.18;4527359.18;disponible
;220;1;1;1;6;1;1;1;1;1;100000.30;768302.19;4527359.19;disponible
;221;1;1;1;1;1;1;1;1;1;100000.31;768302.20;4527359.20;disponible
;222;1;1;1;2;1;1;1;1;1;100000.32;768302.21;4527359.21;disponible
;223;1;1;1;3;1;1;1;1;1;100000.33;768302.22;4527359.22;disponible
;224;1;1;1;4;1;1;1;1;1;100000.34;768302.23;4527359.23;disponible
;225;1;1;1;5;1;1;1;1;1;100000.35;768302.24;4527359.24;disponible
;226;1;1;1;6;1;1;1;1;1;100000.36;768302.25;4527359.25;disponible
;227;1;1;1;1;1;1;1;1;1;100000.37;768302.26;4527359.26;disponible
;228;1;1;1;2;1;1;1;1;1;100000.38;768302.27;4527359.27;disponible
;229;1;1;1;3;1;1;1;1;1;100000.39;768302.28;4527359.28;disponible
;230;1;1;1;4;1;1;1;1;1;100000.40;768302.29;4527359.29;disponible
;231;1;1;1;5;1;1;1;1;1;100000.41;768302.30;4527359.30;disponible
;232;1;1;1;6;1;1;1;1;1;100000.42;768302.31;4527359.31;disponible
;233;1;1;1;1;1;1;1;1;1;100000.43;768302.32;4527359.32;disponible
;234;1;1;1;2;1;1;1;1;1;100000.44;768302.33;4527359.33;disponible
;235;1;1;1;3;1;1;1;1;1;100000.45;768302.34;4527359.34;disponible
;236;1;1;1;4;1;1;1;1;1;100000.46;768302.35;4527359.35;disponible
;237;1;1;1;5;1;1;1;1;1;100000.47;768302.36;4527359.36;disponible
;238;1;1;1;1;1;1;1;1;1;100000.48;768302.37;4527359.37;disponible
;239;1;1;1;2;1;1;1;1;1;100000.49;768302.38;4527359.38;disponible
;240;1;1;1;3;1;1;1;1;1;100000.50;768302.39;4527359.39;disponible
;241;1;1;1;4;1;1;1;1;1;100000.51;768302.40;4527359.40;disponible
;242;1;1;1;5;1;1;1;1;1;100000.52;768302.41;4527359.41;disponible
;243;1;1;1;6;1;1;1;1;1;100000.53;768302.42;4527359.42;disponible
;244;1;1;1;1;1;1;1;1;1;100000.54;768302.43;4527359.43;disponible
;245;1;1;1;2;1;1;1;1;1;100000.55;768302.44;4527359.44;disponible
;246;1;1;1;3;1;1;1;1;1;100000.56;768302.45;4527359.45;disponible
;247;1;1;1;4;1;1;1;1;1;100000.57;768302.46;4527359.46;disponible
;248;1;1;1;5;1;1;1;1;1;100000.58;768302.47;4527359.47;disponible
;249;1;1;1;6;1;1;1;1;1;100000.59;768302.48;4527359.48;disponible
;250;1;1;1;1;1;1;1;1;1;100000.60;768302.49;4527359.49;disponible
;251;1;1;1;2;1;1;1;1;1;100000.61;768302.50;4527359.50;disponible
;252;1;1;1;3;1;1;1;1;1;100000.62;768302.51;4527359.51;disponible
;253;1;1;1;4;1;1;1;1;1;100000.63;768302.52;4527359.52;disponible
;254;1;1;1;5;1;1;1;1;1;100000.64;768302.53;4527359.53;disponible
;255;1;1;1;6;1;1;1;1;1;100000.65;768302.54;4527359.54;disponible
;256;1;1;1;1;1;1;1;1;1;100000.66;768302.55;4527359.55;disponible
;257;1;1;1;2;1;1;1;1;1;100000.67;768302.56;4527359.56;disponible
;258;1;1;1;3;1;1;1;1;1;100000.68;768302.57;4527359.57;disponible
;259;1;1;1;4;1;1;1;1;1;100000.69;768302.58;4527359.58;disponible
;260;1;1;1;5;1;1;1;1;1;100000.70;768302.59;4527359.59;disponible
;261;1;1;1;6;1;1;1;1;1;100000.71;768302.60;4527359.60;disponible
;262;1;1;1;1;1;1;1;1;1;100000.72;768302.61;4527359.61;disponible
;263;1;1;1;2;1;1;1;1;1;100000.73;768302.62;4527359.62;disponible
;264;1;1;1;3;1;1;1;1;1;100000.74;768302.63;4527359.63;disponible
;265;1;1;1;4;1;1;1;1;1;100000.75;768302.64;4527359.64;disponible
;266;1;1;1;5;1;1;1;1;1;100000.76;768302.65;4527359.65;disponible
;267;1;1;1;6;1;1;1;1;1;100000.77;768302.66;4527359.66;disponible
;268;1;1;1;1;1;1;1;1;1;100000.78;768302.67;4527359.67;disponible
;269;1;1;1;2;1;1;1;1;1;100000.79;768302.68;4527359.68;disponible
;270;1;1;1;3;1;1;1;1;1;100000.80;768302.69;4527359.69;disponible
;271;1;1;1;4;1;1;1;1;1;100000.81;768302.70;4527359.70;disponible
;272;1;1;1;5;1;1;1;1;1;100000.82;768302.71;4527359.71;disponible
;273;1;1;1;6;1;1;1;1;1;100000.83;768302.72;4527359.72;disponible
;274;1;1;1;1;1;1;1;1;1;100000.84;768302.73;4527359.73;disponible
;275;1;1;1;2;1;1;1;1;1;100000.85;768302.74;4527359.74;disponible
;276;1;1;1;3;1;1;1;1;1;100000.86;768302.75;4527359.75;disponible
;277;1;1;1;4;1;1;1;1;1;100000.87;768302.76;4527359.76;disponible
;278;1;1;1;5;1;1;1;1;1;100000.88;768302.77;4527359.77;disponible
;279;1;1;1;6;1;1;1;1;1;100000.89;768302.78;4527359.78;disponible
;280;1;1;1;1;1;1;1;1;1;100000.90;768302.79;4527359.79;disponible
;281;1;1;1;2;1;1;1;1;1;100000.91;768302.80;4527359.80;disponible
;282;1;1;1;3;1;1;1;1;1;100000.92;768302.81;4527359.81;disponible
;283;1;1;1;4;1;1;1;1;1;100000.93;768302.82;4527359.82;disponible
;284;1;1;1;5;1;1;1;1;1;100000.94;768302.83;4527359.83;disponible
;285;1;1;1;1;1;1;1;1;1;100000.95;768302.84;4527359.84;disponible
;286;1;1;1;2;1;1;1;1;1;100000.96;768302.85;4527359.85;disponible
;287;1;1;1;3;1;1;1;1;1;100000.97;768302.86;4527359.86;disponible
;288;1;1;1;4;1;1;1;1;1;100000.98;768302.87;4527359.87;disponible
;289;1;1;1;5;1;1;1;1;1;100000.99;768302.88;4527359.88;disponible
;290;1;1;1;6;1;1;1;1;1;100000.09;768302.89;4527359.89;disponible
;291;1;1;1;1;1;1;1;1;1;100000.10;768302.90;4527359.90;disponible
;292;1;1;1;2;1;1;1;1;1;100000.11;768302.91;4527359.91;disponible
;293;1;1;1;3;1;1;1;1;1;100000.12;768302.92;4527359.92;disponible
;294;1;1;1;4;1;1;1;1;1;100000.13;768302.93;4527359.93;disponible
;295;1;1;1;5;1;1;1;1;1;100000.14;768302.94;4527359.94;disponible
;296;1;1;1;6;1;1;1;1;1;100000.15;768302.95;4527359.95;disponible
;297;1;1;1;1;1;1;1;1;1;100000.16;768302.96;4527359.96;disponible
;298;1;1;1;2;1;1;1;1;1;100000.17;768302.97;4527359.97;disponible
;299;1;1;1;3;1;1;1;1;1;100000.18;768302.98;4527359.98;disponible
;300;1;1;1;4;1;1;1;1;1;100000.19;768302.99;4527359.99;disponible
;301;1;1;1;5;1;1;1;1;1;100000.20;456743.00;5639395.00;disponible
;302;1;1;1;6;1;1;1;1;1;100000.21;456743.01;5639395.01;disponible
;303;1;1;1;1;1;1;1;1;1;100000.22;456743.02;5639395.02;disponible
;304;1;1;1;2;1;1;1;1;1;100000.23;456743.03;5639395.03;disponible
;305;1;1;1;3;1;1;1;1;1;100000.24;456743.04;5639395.04;disponible
;306;1;1;1;4;1;1;1;1;1;100000.25;456743.05;5639395.05;disponible
;307;1;1;1;5;1;1;1;1;1;100000.26;456743.06;5639395.06;disponible
;308;1;1;1;6;1;1;1;1;1;100000.27;456743.07;5639395.07;disponible
;309;1;1;1;6;1;1;1;1;1;100000.28;456743.08;5639395.08;disponible
;310;1;1;1;1;1;1;1;1;1;100000.29;456743.09;5639395.09;disponible
;311;1;1;1;2;1;1;1;1;1;100000.30;456743.10;5639395.10;disponible
;312;1;1;1;3;1;1;1;1;1;100000.31;456743.11;5639395.11;disponible
;313;1;1;1;4;1;1;1;1;1;100000.32;456743.12;5639395.12;disponible
;314;1;1;1;5;1;1;1;1;1;100000.33;456743.13;5639395.13;disponible
;315;1;1;1;6;1;1;1;1;1;100000.34;456743.14;5639395.14;disponible
;316;1;1;1;1;1;1;1;1;1;100000.35;456743.15;5639395.15;disponible
;317;1;1;1;2;1;1;1;1;1;100000.36;456743.16;5639395.16;disponible
;318;1;1;1;3;1;1;1;1;1;100000.37;456743.17;5639395.17;disponible
;319;1;1;1;4;1;1;1;1;1;100000.38;456743.18;5639395.18;disponible
;320;1;1;1;5;1;1;1;1;1;100000.39;456743.19;5639395.19;disponible
;321;1;1;1;6;1;1;1;1;1;100000.40;456743.20;5639395.20;disponible
;322;1;1;1;1;1;1;1;1;1;100000.41;456743.21;5639395.21;disponible
;323;1;1;1;2;1;1;1;1;1;100000.42;456743.22;5639395.22;disponible
;324;1;1;1;3;1;1;1;1;1;100000.43;456743.23;5639395.23;disponible
;325;1;1;1;4;1;1;1;1;1;100000.44;456743.24;5639395.24;disponible
;326;1;1;1;5;1;1;1;1;1;100000.45;456743.25;5639395.25;disponible
;327;1;1;1;6;1;1;1;1;1;100000.46;456743.26;5639395.26;disponible
;328;1;1;1;1;1;1;1;1;1;100000.47;456743.27;5639395.27;disponible
;329;1;1;1;2;1;1;1;1;1;100000.48;456743.28;5639395.28;disponible
