IdLimite,LIMITE_DIARIO_ANTERIOR,LIMITE_DIARIO_ACTUAL,FECHA_ACTUALIZACION_DIA,LIMITE_SEMANA_ANTERIOR,LIMITE_SEMANA_ACTUAL,FECHA_ACTUALIZACION_SEMANA,LIMITE_MENSUAL_ANTERIOR,LIMITE_MENSUAL_ACTUAL,FECHA_ACTUALIZACION_MENSUAL,LIMITE_PERDIDA_DIARIO_ANTERIOR,LIMITE_PERDIDA_DIARIO_ACTUAL,FECHA_ACTUAL_DIARIO_PERDIDA,LIMITE_PERDIDA_SEMANA_ANTERIOR,LIMITE_PERDIDA_SEMANA_ACTUAL,FECHA_ACTUAL_SEMANA_PERDIDA,LIMITE_PERDIDA_MES_ANTERIOR ,LIMITE_PERDIDA_MES_ACTUAL,FECHA_ACTUAL_MES_PERDIDA ,TIEMPO_ACTIVIDAD_SESSION,IdUsuario,ESTADO
13,974426.46,858090.39,7/23/2019 0:00,164924.02,25133.70,8/9/2019 0:00,766266.46,279120.25,4/14/2019 0:00,429045.20,257427.12,4/14/2019 0:00,82462.01,32984.80,4/14/2019 0:00,459759.88,76626.65,4/14/2019 0:00,3,13,Disponible
14,664612.20,860849.67,1/6/2019 0:00,309464.03,419021.25,4/20/2019 0:00,687374.49,921880.26,6/9/2019 0:00,430424.84,258254.90,6/9/2019 0:00,154732.02,61892.81,6/9/2019 0:00,412424.69,68737.45,6/9/2019 0:00,8,14,Disponible
15,832936.96,808670.12,4/21/2019 0:00,22346.14,424085.89,7/6/2019 0:00,98293.78,442437.97,6/16/2019 0:00,404335.06,242601.04,6/16/2019 0:00,11173.07,4469.23,6/16/2019 0:00,58976.27,9829.38,6/16/2019 0:00,10,15,Disponible
16,115583.73,339807.21,6/25/2019 0:00,192145.70,724400.53,8/19/2019 0:00,484762.87,285437.58,2/20/2019 0:00,169903.61,101942.16,2/20/2019 0:00,96072.85,38429.14,2/20/2019 0:00,290857.72,48476.29,2/20/2019 0:00,2,16,Disponible
17,52632.87,637048.26,6/22/2019 0:00,900590.00,406182.52,12/12/2018 0:00,621829.97,77686.96,12/7/2018 0:00,318524.13,191114.48,12/7/2018 0:00,450295.00,180118.00,12/7/2018 0:00,373097.98,62183.00,12/7/2018 0:00,5,17,Disponible
18,298866.14,39633.93,5/21/2019 0:00,760718.90,937166.68,6/18/2019 0:00,867464.25,580492.15,5/15/2019 0:00,19816.97,11890.18,5/15/2019 0:00,380359.45,152143.78,5/15/2019 0:00,520478.55,86746.43,5/15/2019 0:00,10,18,Disponible
19,747199.31,959154.23,11/10/2018 0:00,362785.84,177554.71,5/16/2019 0:00,787752.39,734920.88,10/3/2019 0:00,479577.12,287746.27,10/3/2019 0:00,181392.92,72557.17,10/3/2019 0:00,472651.43,78775.24,10/3/2019 0:00,12,19,Disponible
20,448119.30,484508.74,9/17/2019 0:00,490242.86,903177.51,6/20/2019 0:00,335704.09,455086.80,5/8/2019 0:00,242254.37,145352.62,5/8/2019 0:00,245121.43,98048.57,5/8/2019 0:00,201422.45,33570.41,5/8/2019 0:00,12,20,Disponible
21,174516.35,79645.96,6/25/2019 0:00,237992.27,527856.81,9/4/2019 0:00,326823.37,467201.72,11/13/2018 0:00,39822.98,23893.79,11/13/2018 0:00,118996.14,47598.45,11/13/2018 0:00,196094.02,32682.34,11/13/2018 0:00,4,21,Disponible
22,829031.82,853935.37,5/29/2019 0:00,289460.87,824500.40,10/9/2019 0:00,383643.66,104890.08,2/27/2019 0:00,426967.69,256180.61,2/27/2019 0:00,144730.44,57892.17,2/27/2019 0:00,230186.20,38364.37,2/27/2019 0:00,11,22,Disponible
23,138952.56,110707.99,9/18/2019 0:00,850306.46,935797.01,3/22/2019 0:00,535619.86,583834.60,4/30/2019 0:00,55354.00,33212.40,4/30/2019 0:00,425153.23,170061.29,4/30/2019 0:00,321371.92,53561.99,4/30/2019 0:00,12,23,Disponible
24,823528.86,303758.61,9/22/2019 0:00,922698.13,162962.52,12/24/2018 0:00,471394.45,375929.64,4/4/2019 0:00,151879.31,91127.58,4/4/2019 0:00,461349.07,184539.63,4/4/2019 0:00,282836.67,47139.45,4/4/2019 0:00,7,24,Disponible
25,534481.21,755859.14,9/17/2019 0:00,809719.26,416881.22,7/16/2019 0:00,137325.65,880591.25,10/10/2019 0:00,377929.57,226757.74,10/10/2019 0:00,404859.63,161943.85,10/10/2019 0:00,82395.39,13732.57,10/10/2019 0:00,6,25,Disponible
26,379385.30,68800.32,3/23/2019 0:00,754164.54,890677.58,8/11/2019 0:00,845789.91,996566.12,2/2/2019 0:00,34400.16,20640.10,2/2/2019 0:00,377082.27,150832.91,2/2/2019 0:00,507473.95,84578.99,2/2/2019 0:00,7,26,Disponible
27,718711.94,575107.29,7/26/2019 0:00,959333.94,814522.12,2/20/2019 0:00,858924.44,355130.39,6/5/2019 0:00,287553.65,172532.19,6/5/2019 0:00,479666.97,191866.79,6/5/2019 0:00,515354.66,85892.44,6/5/2019 0:00,7,27,Disponible
28,800353.94,783246.57,10/8/2019 0:00,423077.55,161376.71,1/21/2019 0:00,788936.38,545171.84,9/11/2019 0:00,391623.29,234973.97,9/11/2019 0:00,211538.78,84615.51,9/11/2019 0:00,473361.83,78893.64,9/11/2019 0:00,6,28,Disponible
29,230443.80,753377.76,12/28/2018 0:00,999166.38,584826.23,1/6/2019 0:00,922692.16,793456.73,1/7/2019 0:00,376688.88,226013.33,1/7/2019 0:00,499583.19,199833.28,1/7/2019 0:00,553615.30,92269.22,1/7/2019 0:00,9,29,Disponible
30,851494.72,248085.42,6/2/2019 0:00,507531.66,612250.83,5/19/2019 0:00,594498.30,941070.30,11/2/2018 0:00,124042.71,74425.63,11/2/2018 0:00,253765.83,101506.33,11/2/2018 0:00,356698.98,59449.83,11/2/2018 0:00,12,30,Disponible
31,278865.34,875400.57,1/23/2019 0:00,590943.55,852146.63,6/10/2019 0:00,820044.19,57103.86,4/3/2019 0:00,437700.29,262620.17,4/3/2019 0:00,295471.78,118188.71,4/3/2019 0:00,492026.51,82004.42,4/3/2019 0:00,11,31,Disponible
32,112856.25,450391.09,9/20/2019 0:00,400769.06,956988.44,3/1/2019 0:00,251224.16,147980.35,9/30/2019 0:00,225195.55,135117.33,9/30/2019 0:00,200384.53,80153.81,9/30/2019 0:00,150734.50,25122.42,9/30/2019 0:00,1,32,Disponible
33,915182.31,150974.49,7/6/2019 0:00,933637.67,853815.27,6/10/2019 0:00,848249.06,283777.80,5/31/2019 0:00,75487.25,45292.35,5/31/2019 0:00,466818.84,186727.53,5/31/2019 0:00,508949.44,84824.91,5/31/2019 0:00,4,33,Disponible
34,598185.32,76910.87,3/20/2019 0:00,848885.72,656554.02,5/31/2019 0:00,929188.11,89535.17,12/15/2018 0:00,38455.44,23073.26,12/15/2018 0:00,424442.86,169777.14,12/15/2018 0:00,557512.87,92918.81,12/15/2018 0:00,9,34,Disponible
35,886814.69,333870.07,8/13/2019 0:00,166821.05,282689.19,7/8/2019 0:00,355674.65,148376.54,7/2/2019 0:00,166935.04,100161.02,7/2/2019 0:00,83410.53,33364.21,7/2/2019 0:00,213404.79,35567.47,7/2/2019 0:00,10,35,Disponible
36,150646.87,20360.96,3/14/2019 0:00,698667.34,905565.42,1/31/2019 0:00,971352.80,149209.89,5/28/2019 0:00,10180.48,6108.29,5/28/2019 0:00,349333.67,139733.47,5/28/2019 0:00,582811.68,97135.28,5/28/2019 0:00,6,36,Disponible
37,106371.78,718617.75,6/27/2019 0:00,112054.40,317364.15,2/24/2019 0:00,597963.32,775345.72,10/29/2018 0:00,359308.88,215585.33,10/29/2018 0:00,56027.20,22410.88,10/29/2018 0:00,358777.99,59796.33,10/29/2018 0:00,12,37,Disponible
38,69817.49,687553.14,6/23/2019 0:00,606050.42,882699.77,7/8/2019 0:00,320624.19,888832.27,10/31/2018 0:00,343776.57,206265.94,10/31/2018 0:00,303025.21,121210.08,10/31/2018 0:00,192374.51,32062.42,10/31/2018 0:00,12,38,Disponible
39,268566.26,266066.52,9/15/2019 0:00,30592.83,797733.29,4/15/2019 0:00,440597.08,671187.13,4/6/2019 0:00,133033.26,79819.96,4/6/2019 0:00,15296.42,6118.57,4/6/2019 0:00,264358.25,44059.71,4/6/2019 0:00,10,39,Disponible
40,295208.35,990814.27,3/13/2019 0:00,572599.19,603037.62,2/15/2019 0:00,868707.61,563064.74,1/16/2019 0:00,495407.14,297244.28,1/16/2019 0:00,286299.60,114519.84,1/16/2019 0:00,521224.57,86870.76,1/16/2019 0:00,8,40,Disponible
41,980486.29,281802.94,3/19/2019 0:00,895368.50,514662.92,7/4/2019 0:00,504817.92,461933.35,5/19/2019 0:00,140901.47,84540.88,5/19/2019 0:00,447684.25,179073.70,5/19/2019 0:00,302890.75,50481.79,5/19/2019 0:00,3,41,Disponible
42,295466.06,624829.30,6/5/2019 0:00,464084.41,203737.11,12/13/2018 0:00,91644.65,803725.62,6/10/2019 0:00,312414.65,187448.79,6/10/2019 0:00,232042.21,92816.88,6/10/2019 0:00,54986.79,9164.47,6/10/2019 0:00,10,42,Disponible
43,535450.43,691170.38,5/15/2019 0:00,609833.66,317135.08,4/24/2019 0:00,716743.80,109283.42,7/1/2019 0:00,345585.19,207351.11,7/1/2019 0:00,304916.83,121966.73,7/1/2019 0:00,430046.28,71674.38,7/1/2019 0:00,10,43,Disponible
44,743490.78,908045.07,5/17/2019 0:00,862909.07,212707.77,11/30/2018 0:00,350694.17,949316.14,11/19/2018 0:00,454022.54,272413.52,11/19/2018 0:00,431454.54,172581.81,11/19/2018 0:00,210416.50,35069.42,11/19/2018 0:00,12,44,Disponible
45,148675.15,705541.94,3/26/2019 0:00,153962.80,997447.06,10/16/2019 0:00,356016.81,937625.86,9/9/2019 0:00,352770.97,211662.58,9/9/2019 0:00,76981.40,30792.56,9/9/2019 0:00,213610.09,35601.68,9/9/2019 0:00,2,45,Disponible
46,883314.02,58536.03,8/14/2019 0:00,896252.99,564947.51,12/5/2018 0:00,536737.19,37378.84,2/27/2019 0:00,29268.02,17560.81,2/27/2019 0:00,448126.50,179250.60,2/27/2019 0:00,322042.31,53673.72,2/27/2019 0:00,6,46,Disponible
47,619430.53,296127.95,10/30/2018 0:00,165474.22,527242.45,10/15/2019 0:00,26280.87,97628.22,8/5/2019 0:00,148063.98,88838.39,8/5/2019 0:00,82737.11,33094.84,8/5/2019 0:00,15768.52,2628.09,8/5/2019 0:00,7,47,Disponible
48,501032.66,468455.56,5/17/2019 0:00,618393.09,213085.61,4/29/2019 0:00,591328.94,621913.73,7/28/2019 0:00,234227.78,140536.67,7/28/2019 0:00,309196.55,123678.62,7/28/2019 0:00,354797.36,59132.89,7/28/2019 0:00,1,48,Disponible
49,854436.30,840577.95,12/22/2018 0:00,542513.40,462720.96,12/4/2018 0:00,646266.92,285547.76,10/23/2018 0:00,420288.98,252173.39,10/23/2018 0:00,271256.70,108502.68,10/23/2018 0:00,387760.15,64626.69,10/23/2018 0:00,1,49,Disponible
50,878562.28,882655.55,6/2/2019 0:00,125990.60,916919.85,1/25/2019 0:00,902811.69,144947.34,3/19/2019 0:00,441327.78,264796.67,3/19/2019 0:00,62995.30,25198.12,3/19/2019 0:00,541687.01,90281.17,3/19/2019 0:00,1,50,Disponible
51,881319.27,89862.48,11/6/2018 0:00,932240.33,25092.32,4/25/2019 0:00,564990.95,609843.77,5/11/2019 0:00,44931.24,26958.74,5/11/2019 0:00,466120.17,186448.07,5/11/2019 0:00,338994.57,56499.10,5/11/2019 0:00,2,51,Disponible
52,160510.89,102394.29,8/1/2019 0:00,43995.99,589818.24,1/27/2019 0:00,243062.68,579705.62,7/7/2019 0:00,51197.15,30718.29,7/7/2019 0:00,21998.00,8799.20,7/7/2019 0:00,145837.61,24306.27,7/7/2019 0:00,2,52,Disponible
53,120446.97,161930.00,1/5/2019 0:00,24407.57,967023.90,10/17/2019 0:00,23924.11,433266.37,11/25/2018 0:00,80965.00,48579.00,11/25/2018 0:00,12203.79,4881.51,11/25/2018 0:00,14354.47,2392.41,11/25/2018 0:00,2,53,Disponible
54,698815.25,875707.94,5/2/2019 0:00,829568.75,503607.06,2/27/2019 0:00,792238.31,156324.58,8/14/2019 0:00,437853.97,262712.38,8/14/2019 0:00,414784.38,165913.75,8/14/2019 0:00,475342.99,79223.83,8/14/2019 0:00,1,54,Disponible
55,317805.86,608192.95,4/20/2019 0:00,37091.79,473377.69,8/26/2019 0:00,788364.36,849371.45,6/22/2019 0:00,304096.48,182457.89,6/22/2019 0:00,18545.90,7418.36,6/22/2019 0:00,473018.62,78836.44,6/22/2019 0:00,1,55,Disponible
56,67802.37,241804.66,9/15/2019 0:00,987165.59,237867.38,4/28/2019 0:00,924090.85,908521.98,1/13/2019 0:00,120902.33,72541.40,1/13/2019 0:00,493582.80,197433.12,1/13/2019 0:00,554454.51,92409.09,1/13/2019 0:00,9,56,Disponible
57,183348.13,561032.15,12/16/2018 0:00,737753.52,187035.79,11/5/2018 0:00,789763.38,636157.41,10/11/2019 0:00,280516.08,168309.65,10/11/2019 0:00,368876.76,147550.70,10/11/2019 0:00,473858.03,78976.34,10/11/2019 0:00,8,57,Disponible
58,917340.90,964822.94,4/22/2019 0:00,953402.47,338028.10,5/3/2019 0:00,334144.56,133426.35,10/28/2018 0:00,482411.47,289446.88,10/28/2018 0:00,476701.24,190680.49,10/28/2018 0:00,200486.74,33414.46,10/28/2018 0:00,2,58,Disponible
59,317536.27,464209.90,3/4/2019 0:00,439964.26,231162.81,4/26/2019 0:00,580438.93,191061.17,5/28/2019 0:00,232104.95,139262.97,5/28/2019 0:00,219982.13,87992.85,5/28/2019 0:00,348263.36,58043.89,5/28/2019 0:00,1,59,Disponible
60,763601.61,933732.01,3/5/2019 0:00,425938.95,390820.00,5/29/2019 0:00,985351.15,965315.09,12/21/2018 0:00,466866.01,280119.60,12/21/2018 0:00,212969.48,85187.79,12/21/2018 0:00,591210.69,98535.12,12/21/2018 0:00,12,60,Disponible
61,473113.33,987208.42,9/18/2019 0:00,920010.16,85806.05,6/19/2019 0:00,987159.62,755119.93,8/4/2019 0:00,493604.21,296162.53,8/4/2019 0:00,460005.08,184002.03,8/4/2019 0:00,592295.77,98715.96,8/4/2019 0:00,4,61,Disponible
62,824980.15,714985.52,8/6/2019 0:00,297149.36,60213.99,6/30/2019 0:00,472067.73,372192.25,4/12/2019 0:00,357492.76,214495.66,4/12/2019 0:00,148574.68,59429.87,4/12/2019 0:00,283240.64,47206.77,4/12/2019 0:00,11,62,Disponible
63,559562.56,588963.56,1/13/2019 0:00,410432.01,848414.04,1/16/2019 0:00,571959.64,762528.78,7/22/2019 0:00,294481.78,176689.07,7/22/2019 0:00,205216.01,82086.40,7/22/2019 0:00,343175.78,57195.96,7/22/2019 0:00,10,63,Disponible
64,528247.70,76874.84,1/12/2019 0:00,133562.04,651967.42,12/24/2018 0:00,536370.27,803739.14,6/27/2019 0:00,38437.42,23062.45,6/27/2019 0:00,66781.02,26712.41,6/27/2019 0:00,321822.16,53637.03,6/27/2019 0:00,7,64,Disponible
65,337172.30,445602.39,6/20/2019 0:00,620881.18,241992.43,4/19/2019 0:00,434523.33,621727.39,3/26/2019 0:00,222801.20,133680.72,3/26/2019 0:00,310440.59,124176.24,3/26/2019 0:00,260714.00,43452.33,3/26/2019 0:00,12,65,Disponible
66,970163.60,203213.15,11/6/2018 0:00,839119.83,477360.53,9/15/2019 0:00,588600.81,701166.81,2/14/2019 0:00,101606.58,60963.95,2/14/2019 0:00,419559.92,167823.97,2/14/2019 0:00,353160.49,58860.08,2/14/2019 0:00,1,66,Disponible
67,222096.25,847831.66,10/24/2018 0:00,426159.61,287558.23,11/24/2018 0:00,44155.67,278223.13,12/13/2018 0:00,423915.83,254349.50,12/13/2018 0:00,213079.81,85231.92,12/13/2018 0:00,26493.40,4415.57,12/13/2018 0:00,12,67,Disponible
68,477494.93,304068.46,3/11/2019 0:00,240877.37,283619.67,9/26/2019 0:00,146735.02,142647.56,8/21/2019 0:00,152034.23,91220.54,8/21/2019 0:00,120438.69,48175.47,8/21/2019 0:00,88041.01,14673.50,8/21/2019 0:00,6,68,Disponible
69,329454.22,884197.65,3/22/2019 0:00,829136.83,485677.93,10/23/2018 0:00,348245.20,38080.78,1/19/2019 0:00,442098.83,265259.30,1/19/2019 0:00,414568.42,165827.37,1/19/2019 0:00,208947.12,34824.52,1/19/2019 0:00,6,69,Disponible
70,171224.98,982612.59,4/28/2019 0:00,974312.46,430281.24,7/18/2019 0:00,983081.32,399904.72,10/12/2019 0:00,491306.30,294783.78,10/12/2019 0:00,487156.23,194862.49,10/12/2019 0:00,589848.79,98308.13,10/12/2019 0:00,8,70,Disponible
71,775517.20,859394.27,12/30/2018 0:00,266435.94,598233.57,7/5/2019 0:00,899698.20,569825.08,4/26/2019 0:00,429697.14,257818.28,4/26/2019 0:00,133217.97,53287.19,4/26/2019 0:00,539818.92,89969.82,4/26/2019 0:00,2,71,Disponible
72,830975.90,142098.74,4/13/2019 0:00,814064.78,314311.82,9/28/2019 0:00,923889.30,87795.34,11/17/2018 0:00,71049.37,42629.62,11/17/2018 0:00,407032.39,162812.96,11/17/2018 0:00,554333.58,92388.93,11/17/2018 0:00,9,72,Disponible
73,728286.00,678307.77,12/4/2018 0:00,161812.50,417904.86,5/26/2019 0:00,591599.95,464647.11,12/22/2018 0:00,339153.89,203492.33,12/22/2018 0:00,80906.25,32362.50,12/22/2018 0:00,354959.97,59160.00,12/22/2018 0:00,9,73,Disponible
74,676175.87,40091.14,3/31/2019 0:00,619490.66,481962.06,3/11/2019 0:00,798534.79,795497.36,10/26/2018 0:00,20045.57,12027.34,10/26/2018 0:00,309745.33,123898.13,10/26/2018 0:00,479120.87,79853.48,10/26/2018 0:00,8,74,Disponible
75,224583.32,635727.46,5/20/2019 0:00,334773.72,722009.99,9/6/2019 0:00,908468.59,333738.32,11/16/2018 0:00,317863.73,190718.24,11/16/2018 0:00,167386.86,66954.74,11/16/2018 0:00,545081.15,90846.86,11/16/2018 0:00,1,75,Disponible
76,317749.21,265992.36,4/28/2019 0:00,682700.14,302388.24,6/8/2019 0:00,985392.68,727766.72,10/8/2019 0:00,132996.18,79797.71,10/8/2019 0:00,341350.07,136540.03,10/8/2019 0:00,591235.61,98539.27,10/8/2019 0:00,2,76,Disponible
77,607530.00,747140.74,7/22/2019 0:00,151674.84,692283.97,7/23/2019 0:00,533018.34,717755.37,7/2/2019 0:00,373570.37,224142.22,7/2/2019 0:00,75837.42,30334.97,7/2/2019 0:00,319811.00,53301.83,7/2/2019 0:00,2,77,Disponible
78,394696.76,440033.91,1/1/2019 0:00,884541.60,121636.41,8/23/2019 0:00,544089.88,479171.17,1/24/2019 0:00,220016.96,132010.17,1/24/2019 0:00,442270.80,176908.32,1/24/2019 0:00,326453.93,54408.99,1/24/2019 0:00,2,78,Disponible
79,755204.43,757796.31,5/27/2019 0:00,77568.63,230726.52,1/17/2019 0:00,820487.22,628954.25,2/2/2019 0:00,378898.16,227338.89,2/2/2019 0:00,38784.32,15513.73,2/2/2019 0:00,492292.33,82048.72,2/2/2019 0:00,9,79,Disponible
80,958199.18,772474.45,1/28/2019 0:00,255399.78,604258.66,1/28/2019 0:00,261882.87,271449.91,10/22/2018 0:00,386237.23,231742.34,10/22/2018 0:00,127699.89,51079.96,10/22/2018 0:00,157129.72,26188.29,10/22/2018 0:00,8,80,Disponible
81,79683.12,420178.04,3/31/2019 0:00,185015.12,528669.63,9/17/2019 0:00,796851.84,613680.35,7/9/2019 0:00,210089.02,126053.41,7/9/2019 0:00,92507.56,37003.02,7/9/2019 0:00,478111.10,79685.18,7/9/2019 0:00,10,81,Disponible
82,419695.62,159386.48,1/17/2019 0:00,221877.91,336643.23,4/29/2019 0:00,436862.56,467402.93,6/10/2019 0:00,79693.24,47815.94,6/10/2019 0:00,110938.96,44375.58,6/10/2019 0:00,262117.54,43686.26,6/10/2019 0:00,11,82,Disponible
83,410010.47,175233.99,1/22/2019 0:00,485405.17,488682.56,4/4/2019 0:00,219028.38,559275.28,7/28/2019 0:00,87617.00,52570.20,7/28/2019 0:00,242702.59,97081.03,7/28/2019 0:00,131417.03,21902.84,7/28/2019 0:00,12,83,Disponible
84,789191.43,914934.43,7/21/2019 0:00,600425.12,254816.94,9/4/2019 0:00,387108.73,766355.38,8/29/2019 0:00,457467.22,274480.33,8/29/2019 0:00,300212.56,120085.02,8/29/2019 0:00,232265.24,38710.87,8/29/2019 0:00,7,84,Disponible
85,157165.16,524640.55,11/24/2018 0:00,505248.33,613390.93,5/7/2019 0:00,426470.80,747006.46,3/8/2019 0:00,262320.28,157392.17,3/8/2019 0:00,252624.17,101049.67,3/8/2019 0:00,255882.48,42647.08,3/8/2019 0:00,8,85,Disponible
86,289540.07,831232.98,1/27/2019 0:00,50997.29,156467.87,7/12/2019 0:00,266525.59,766347.38,3/12/2019 0:00,415616.49,249369.89,3/12/2019 0:00,25498.65,10199.46,3/12/2019 0:00,159915.35,26652.56,3/12/2019 0:00,3,86,Disponible
87,765413.51,56442.99,6/23/2019 0:00,811257.96,984823.57,9/11/2019 0:00,722431.17,412978.66,11/30/2018 0:00,28221.50,16932.90,11/30/2018 0:00,405628.98,162251.59,11/30/2018 0:00,433458.70,72243.12,11/30/2018 0:00,5,87,Disponible
88,962808.69,150262.78,10/4/2019 0:00,301601.52,29919.11,7/18/2019 0:00,235416.95,412374.60,8/11/2019 0:00,75131.39,45078.83,8/11/2019 0:00,150800.76,60320.30,8/11/2019 0:00,141250.17,23541.70,8/11/2019 0:00,6,88,Disponible
89,677375.37,739260.54,7/21/2019 0:00,921954.70,837453.97,3/25/2019 0:00,999848.25,836043.22,11/3/2018 0:00,369630.27,221778.16,11/3/2018 0:00,460977.35,184390.94,11/3/2018 0:00,599908.95,99984.83,11/3/2018 0:00,7,89,Disponible
90,487291.13,322409.34,12/31/2018 0:00,386176.38,764222.02,11/5/2018 0:00,473503.57,876076.25,5/30/2019 0:00,161204.67,96722.80,5/30/2019 0:00,193088.19,77235.28,5/30/2019 0:00,284102.14,47350.36,5/30/2019 0:00,4,90,Disponible
91,481058.81,186111.53,7/23/2019 0:00,413792.56,666074.55,9/3/2019 0:00,293766.24,889827.65,8/14/2019 0:00,93055.77,55833.46,8/14/2019 0:00,206896.28,82758.51,8/14/2019 0:00,176259.74,29376.62,8/14/2019 0:00,10,91,Disponible
92,234028.46,676742.63,12/5/2018 0:00,286956.75,347137.08,7/30/2019 0:00,74241.20,844308.26,7/25/2019 0:00,338371.32,203022.79,7/25/2019 0:00,143478.38,57391.35,7/25/2019 0:00,44544.72,7424.12,7/25/2019 0:00,12,92,Disponible
93,913565.24,672852.36,6/17/2019 0:00,572742.02,534549.72,6/19/2019 0:00,516629.77,966800.42,12/6/2018 0:00,336426.18,201855.71,12/6/2018 0:00,286371.01,114548.40,12/6/2018 0:00,309977.86,51662.98,12/6/2018 0:00,9,93,Disponible
94,397384.77,815318.84,4/18/2019 0:00,841717.28,596704.76,9/15/2019 0:00,359180.92,522925.45,4/21/2019 0:00,407659.42,244595.65,4/21/2019 0:00,420858.64,168343.46,4/21/2019 0:00,215508.55,35918.09,4/21/2019 0:00,5,94,Disponible
95,820342.31,103692.65,10/12/2019 0:00,36697.14,994010.99,5/11/2019 0:00,82467.09,81235.48,5/6/2019 0:00,51846.33,31107.80,5/6/2019 0:00,18348.57,7339.43,5/6/2019 0:00,49480.25,8246.71,5/6/2019 0:00,5,95,Disponible
